sale_date,gross_sale_price,mileage,make,model,model_year,color,grade,drivable
20221026,6000,117833,HYUNDAI,SONATA,2016,,1.8,
20220727,13000,110705,ACURA,ILX,2016,,3.9,
20221214,18600,37125,HYUNDAI,KONA,2020,,4.7,
20221026,15700,21373,NISSAN,VERSA,2021,,3.8,
20220609,5200,90574,HYUNDAI,ACCENT,2017,,1.9,
20220421,14400,97793,CADILLAC,SRX,2016,,3,
20221222,16300,53747,FORD,FUSION,2020,,4.1,
20221103,21200,35883,KIA,SEDONA,2021,,3,
20220707,14000,52566,NISSAN,SENTRA,2021,,3.3,
20221104,18500,27899,DODGE,JOURNEY,2019,,4.2,
20220923,4100,121837,RAM,2500,2016,,1,
20221108,8600,99847,GMC,TERRAIN,2018,,2.1,
20221025,14500,105923,VOLKSWAGEN,TIGUAN,2018,,3.5,
20220222,25200,24282,HONDA,CR-V,2018,,4.3,
20220315,23900,4846,MITSUBISHI,OUTLANDER SPORT,2021,,4.3,
20220531,6200,185418,CHEVROLET,CITY EXPRESS CARGO V,2015,,2.8,
20220607,1000,111360,JEEP,LIBERTY,2012,,2.1,
20220809,7250,83608,VOLKSWAGEN,PASSAT,2012,,2.5,
20220614,18300,61871,MINI,HARDTOP 4 DOOR,2019,,4.3,
20220225,7800,86315,KIA,OPTIMA,2015,,2.8,
20220805,20750,103105,DODGE,CHALLENGER,2016,,2.4,
20221223,2500,103656,LAND ROVER,RANGE ROVER SPORT,2012,,2.1,
20220114,13500,44703,VOLKSWAGEN,JETTA SEDAN,2015,,2.4,
20220525,11000,114067,JEEP,WRANGLER,2011,,1,
20220920,6400,137623,BMW,1 SERIES,2009,,1.9,
20221115,9400,125422,KIA,OPTIMA,2016,,4.6,
20220519,2400,148338,FORD,FOCUS,2017,,1.6,
20220323,14800,52517,FORD,FUSION,2017,,2.5,
20221219,7400,98872,CHEVROLET,MALIBU,2016,,2.9,
20220802,21700,51958,HONDA,ACCORD SEDAN,2020,,3,
20220620,2400,144387,KIA,SOUL,2016,,1.4,
20220307,6300,92274,NISSAN,SENTRA,2017,,1.3,
20220419,23000,57602,CHEVROLET,EQUINOX,2019,,4.5,
20220317,18500,81177,CADILLAC,CTS SEDAN,2018,,3.5,
20220422,12000,52998,CHEVROLET,TRAX,2018,,2,
20221122,4000,148859,NISSAN,ALTIMA,2013,,3.5,
20221027,10600,93581,KIA,FORTE,2020,,3.8,
20220526,3400,132569,FORD,FUSION,2009,,2.5,
20221214,4500,88277,CHEVROLET,CRUZE,2016,,2.5,
20220701,3700,182179,DODGE,JOURNEY,2015,,1.4,
20220414,26900,100466,FORD,T250 CARGO V6,2018,,2.6,
20220120,14600,86569,NISSAN,ALTIMA 4C,2017,,3,
20220929,7500,107667,CHEVROLET,EQUINOX,2014,,3.7,
20220505,11600,132347,INFINITI,QX60,2014,,4,
20220119,36000,28322,NISSAN,TITANSV,2019,,3.5,
20221101,9800,62692,FORD,FUSION FWD 4C,2019,,2.6,
20221011,18800,22279,MITSUBISHI,OUTLAND SPT 4X4,2020,,3.6,
20220810,18200,60046,BMW,650I,2015,,2.6,
20220622,11000,107992,DODGE,JOURNEY FWD V6,2015,,3.8,
20221214,13000,10856,HYUNDAI,ELANTRA,2020,,2.4,
20220126,24000,40435,LANDROVER,DISCOVERY SPORT,2017,,3.8,
20220914,4200,163454,NISSAN,ROGUE FWD 4C,2016,,2.6,
20220504,29600,76485,TOYOTA,SIENNA FWD,2020,,3.6,
20220104,17000,31321,JEEP,RENEGADE 4X4 4C,2017,,2.4,
20220615,11400,77892,CHEVROLET,CAMARO V8,2010,,2.4,
20220112,7300,145874,FORD,EXPLORER FWD V6,2014,,1.3,
20220802,6750,65172,JEEP,CHEROKEE FWD 4C,2015,,3,
20221025,9500,123106,NISSAN,ALTIMA FWD 4C,2019,,2.3,
20221102,22750,92500,VOLKSWAGEN,ATLAS FWD V6,2019,,4.6,
20221229,18600,91270,GMC,SIERA 15 4X4 V8,2017,,2.9,
20220922,17200,86434,CHEVROLET,CAMARO V6,2017,,4.3,
20221013,6600,42403,HONDA,CIVIC,2017,,1.3,
20221006,23000,64362,NISSAN,FRONTIER 4X2 CR,2019,,4.6,
20220412,4900,149882,CHEVROLET,EQUINOX FWD 4C,2013,,2.7,
20220222,17400,60732,HYUNDAI,SANTA SP FWD 4C,2018,,3.8,
20221213,14700,29407,NISSAN,SENTRA,2018,,4.1,
20220602,10300,97459,CHEVROLET,EQUINOX FWD 4C,2016,,2,
20220512,2600,122736,HYUNDAI,ELANTRA,2017,,,
20220526,27800,51043,RAM,1500 4X2 V8 CR,2019,,4.1,
20220720,4200,93735,NISSAN,SENTRA,2019,,1,
20220505,21400,73766,DODGE,GRAND CARAVAN,2019,,4.3,
20221006,9700,94323,KIA,FORTE,2017,,3.1,
20221117,4500,73404,NISSAN,SENTRA,2019,,1,
20220222,7300,86994,CHEVROLET,TRAX AWD,2018,,1.3,
20220412,18300,29535,HYUNDAI,VENUE,2021,,4.3,
20220621,22000,34475,NISSAN,ROGUE FWD 4C,2020,,3.9,
20220601,20700,15154,FORD,ESCAPE FWD 4C,2018,,4.2,
20220928,9200,65186,NISSAN,QUEST,2015,,1.7,
20220214,10700,94414,CHEVROLET,IMPALA 4C,2015,,2.8,
20220221,16200,102037,FORD,F150 4X2 RG,2017,,3.6,
20221003,4000,108724,HYUNDAI,SONATA,2015,,1.9,
20220926,8900,82510,MERCEDES-B,GL450 4MATIC,2014,,2.9,
20220725,16900,66844,NISSAN,SENTRA,2019,,4.2,
20221004,7800,136615,CHEVROLET,CAMARO V6,2014,,2,
20220201,10800,98060,JEEP,CHEROKEE 4X4 V6,2015,,2.3,
20221103,6000,119079,HYUNDAI,ELANTRA,2017,,2.5,
20220531,19200,21689,HYUNDAI,SONATA,2018,,3,
20221117,22750,50938,CHEVROLET,COLORADO 4X2 CR,2019,,3.3,
20221123,19250,58617,BMW,X1 28I SDRIVE,2018,,4.2,
20221130,17000,94428,FORD,EXPEDIT 4X2,2017,,3.5,
20220803,7200,89950,KIA,OPTIMA,2014,,1,
20220216,17750,43497,NISSAN,SENTRA,2019,,4.3,
20221222,24000,57848,FORD,F150 4X2 CR,2017,,3.5,
20221027,15250,46662,NISSAN,ALTIMA FWD 4C,2020,,2.9,
20220908,4400,158999,BMW,X5 35D,2011,,2.8,
20220922,6600,138777,FORD,ESCAPE FWD 4C,2017,,2.4,
20220512,7400,159901,JEEP,GR CHERO 4X2 V8,2014,,3.1,
20220714,11500,74088,NISSAN,ROGUE SPORT FWD,2017,,2,
20220930,13600,143090,DODGE,CHALLENGER,2017,,2.9,
20221202,15000,93373,TOYOTA,RAV4 FWD,2016,,3.9,
20221031,1125,150155,,OUTLOOK,2010,,,
20220801,18500,137446,FORD,F-150,2018,,4.4,
20220825,15000,75173,HYND,Elantra,2019,,3.5,
20220210,21000,22341,HYND,Elantra,2021,,3.7,
20230111,29250,118489,GMC,Sierra 3500HD Chassi,2015,,4.2,
20220427,20000,69845,CHEV,Equinox,2020,,3.3,
20220504,42900,1715,CHEV,Express 2500,2021,,4.4,
20220721,5000,69651,DODG,Dakota,2004,,3.5,
20220502,14200,96784,FORD,Fusion Hybrid,2018,,4.6,
20220221,7650,17139,FORD,Escape,2020,,,
20220217,13800,97252,HYND,Elantra,2019,,4.3,
20220512,18000,77644,CHEV,Malibu,2019,,3.8,
20220630,25250,46977,MTSB,Outlander PHEV,2018,,4.6,
20220923,3700,189207,FORD,F-150,2014,,2.9,
20220207,22000,49921,CHEV,Equinox,2020,,3.9,
20221013,18250,40318,CHEV,Colorado,2020,,2.7,
20220126,22800,38585,CHEV,Malibu,2020,,4.5,
20220729,17700,78035,CHEV,Malibu,2019,,3.6,
20220930,25000,35926,CHEV,Equinox,2020,,4.8,
20220422,15000,56458,CHEV,Colorado,2017,,2.5,
20220113,9000,160761,TOYOTA,TACOMA,2013,,3.5,
20220727,17600,99855,TOYOTA,TACOMA 4X2 EX,2018,,3.4,
20220615,25500,30455,SUBARU,FORESTER,2018,,4.2,
20221011,43200,21548,VOLVO,XC90,2021,,4.6,
20220218,23400,30738,CHEVROLET,EQUINOX,2019,,3.6,
20220824,22000,33860,RAM,1500 4X2 V8 RG,2019,,4.6,
20220823,7200,133796,DODGE,JOURNEY,2017,,3.7,
20220706,18200,85423,TOYOTA,CAMRY 4C,2018,,3.6,
20220610,13700,106838,FORD,FUSION HYBRID,2019,,3.9,
20220927,23700,42643,SUBARU,OUTBACK 4C,2018,,3,
20220505,29200,63375,CHEVROLET,TRAVERSE,2020,,2.9,
20221026,32000,85688,CHEVROLET,SILVERADO 1500,2019,,4.5,
20220921,600,211623,GMC,CANYON 4X2 RG,2007,,2,
20220628,21900,25205,FORD,FUSION FWD 4C,2020,,4.7,
20220602,27750,34354,CHEVROLET,2500 SLV 4X4 CR,2016,,1.7,
20220622,25800,44692,FORD,EDGE AWD SUV,2019,,4.1,
20220803,24400,49609,SUBARU,FORESTER,2020,,3,
20220714,24800,37429,GMC,TERRAIN AWD 4C,2019,,4.8,
20221201,37000,5746,CHEVROLET,2500HD 4X4 CR,2020,,2.6,
20220331,19500,51506,FORD,FUSION FWD 4C,2017,,4.3,
20220209,15600,71749,SUBARU,FORESTER,2018,,2.4,
20220803,23500,49907,SUBARU,FORESTER,2020,,4.2,
20220726,31000,157,GMC,TERRAIN,2022,,5,
20220107,15400,81163,NISSAN,ALTIMA 4C,2018,,2.6,
20221122,15400,87378,FORD,FLEX,2019,,4.1,
20220524,15400,103743,FORD,ESCAPE 4X4 4C,2019,,4.6,
20220127,23100,94773,FORD,Escape,2019,,,
20221209,17000,,FORD,ESCAPE SE,2020,,4.3,
20220118,6075,74872,TOYOTA,PRIUS C,2016,,,
20220831,3625,168340,FORD,ECONOLINE COMMERCIAL,2006,,,
20221004,1200,196089,FORD,F-150,2007,,0,
20220127,19200,28675,CHEVROLET,MALIBU,2018,,3,
20220510,26400,65974,CHEVROLET,TRAVERSE,2020,,4,
20221115,16500,40178,CHEVROLET,COLORADO,2020,,3.3,
20220623,24600,22564,CHEVROLET,EQUINOX,2020,,3.8,
20221021,16500,37782,CHEVROLET,COLORADO,2020,,3,
20220406,21100,40705,CHEVROLET,EQUINOX,2019,,3.5,
20221220,10900,71377,FORD,FUSION,2019,,2.1,
20221230,15300,137063,TOYOTA,CAMRY,2018,,4.4,
20220510,16700,21023,NISSAN,VERSA NOTE,2019,,3.7,
20221117,20400,145666,CHEVROLET,SILVERADO 1500,2019,,3.9,
20220616,14000,163353,CHEVROLET,SILVERADO 1500,2016,,3.7,
20221103,10100,238113,FORD,TRANSIT-150,2016,,2.7,
20221216,12600,77709,FORD,FUSION,2016,,4.2,
20220915,21600,26937,CHEVROLET,EQUINOX,2020,,4.8,
20220223,25000,31392,FORD,FUSION HYBRID,2019,,4.5,
20221013,8100,115104,FORD,EDGE,2016,,2.8,
20220202,9200,137466,HYUNDAI,ELANTRA,2018,,3.7,
20220304,25250,60901,CHEVROLET,TRAVERSE,2019,,3.7,
20220502,18750,183750,FORD,TRANSIT-350,2016,,2.8,
20220209,23000,26110,CHEVROLET,EQUINOX,2020,,2,
20230126,3000,127697,HYUNDAI,SONATA,2011,BLACK,1.9,Y
20230112,14750,65661,TOYOTA,COROLLA,2020,WHITE,3.1,Y
20230118,12000,58635,CHEVROLET,CAMARO V8,2016,BLUE,1,N
20230201,2400,138837,CHEVROLET,CRUZE,2014,RED,2.5,Y
20230222,21000,80569,DODGE,CHARGER 4X2 V8,2018,WHITE,3.9,Y
20230214,30250,61096,CHEVROLET,1500 SLV 4X4 CR,2016,GRAY,4.3,Y
20230127,21100,51958,SUBARU,CROSSTREK,2019,Black,4.2,Y
20230223,1300,243198,HYUNDAI,ELANTRA,2012,Blue,1.4,Y
20230202,14000,59634,HYUNDAI,ELANTRA,2019,Black,4.2,Y
20230316,3000,157408,HONDA,CR-V,2010,Black,0,N
20230322,3300,135403,GMC TRUCK,TERRAIN FWD 4C,2013,GREEN,2.8,Y
20230331,11900,73343,CHEVROLET,MALIBU,2018,White,1.5,Y
20230323,4800,42161,BUICK,ENCORE GX,2020,Gray,0,N
20220224,25500,76959,FORD,F150 4X4 EX,2018,RED,2.8,Y
20220201,15800,64653,CHEVROLET,EQUINOX AWD 4C,2018,MAROON,1.3,Y
20220225,1450,102770,SUBARU,IMPREZA 2.,2011,MROON,,N
20220216,5200,125143,DODGE,RAM 1500 4X2 V8,2010,BLUE,1.3,Y
20220324,2300,35633,NISSAN,ROGUE S,2017,WHITE,,N
20220301,9700,101537,KIA,FORTE,2016,Black,2.4,Y
20220202,6800,45885,NISSAN,ALTIMA 4C,2015,GRAY,0,N
20220224,12400,85395,CHEVROLET,SONIC,2019,Black,2.3,Y
20220217,25200,75232,NISSAN,TITAN,2018,Black,2.8,Y
20220413,4400,115182,NISSAN,MAXIMA,2012,MAROON,1.7,Y
20220224,16400,68165,CHEVROLET,CAMARO,2015,Black,1.3,Y
20220330,600,147272,JEEP,COMANDER 4X2 V8,2006,SILVER,0,N
20220323,4500,157430,HONDA,CIVIC,2010,BROWN,3.1,Y
20220331,6600,48975,NISSAN,ROGUE,2019,White,1.1,N
20220412,14000,48049,FORD,RANGER,2011,Black,3.3,Y
20220412,24600,49677,HONDA,CR-V FWD,2016,BROWN,4.4,Y
20220513,10800,72048,FORD,TAURUS FWD 4C,2013,GOLD,2.4,Y
20220509,30100,21247,NISSAN,TITAN,2021,Gray,3,Y
20220519,11200,98355,MERCEDES-BENZ,GLA-CLASS,2015,Red,1.3,Y
20220603,19400,27162,HONDA,HR-V AWD,2018,GREY,3.7,Y
20220506,1700,121117,MINI,COUNTRYMAN FWD,2012,BLUE,1,N
20220531,25300,53915,RAM,1500,2017,Red,4.4,Y
20220616,10300,120532,TOYOTA,CAMRY,2016,Silver,1.3,Y
20220803,1700,133258,DODGE,GRAND CARAVAN,2013,WHITE,1.6,N
20220706,9200,85339,TOYOTA,CAMRY 4C,2015,WHITE,1.3,Y
20220906,2600,172806,MERCEDES,C250W,2013,BLACK,1.3,N
20220629,19000,61070,JEEP,CHEROKEE 4X4 4C,2018,SILVER,3.1,Y
20220816,25400,51127,NISSAN,PATHFIND 4X4,2020,SILVER,4.1,Y
20220810,23500,17887,HYUNDAI,VENUE,2021,Green,4.3,Y
20220819,9600,112209,BMW,4 SERIES,2014,Black,1.5,Y
20220818,13400,115118,FORD,EDGE,2014,BLACK,3.5,Y
20221005,3250,40730,VOLKSWAGEN,JETTA,2019,White,0,N
20221027,8300,75361,VOLKSWAGEN,GOLF GTI,2015,Black,2,Y
20221019,3600,147581,CHEVROLET,IMPALA 4C,2017,WHITE,1.4,Y
20221019,5700,99636,JEEP,COMPASS 4X4 4C,2016,BLACK,1.3,Y
20220908,21400,74763,CHEVROLET,TAHOE,2017,Blue,1.9,Y
20221011,22300,107458,TOYOTA,TUNDRA 4X2 CR,2017,GRAY,3,Y
20221006,11400,98281,HYUNDAI,GENESIS,2015,Silver,1.3,Y
20221111,12000,92976,VOLKSWAGEN,JETTA,2017,Black,3.9,Y
20221103,3000,151009,NISSAN,ALTIMA,2015,Gray,1.3,Y
20221125,7400,91072,FORD,EXPLORER,2012,White,2,N
20221028,8700,68416,KIA,OPTIMA,2015,BLACK,0,Y
20221110,24800,41698,DODGE,CHARGER,2018,Black,2.8,Y
20221108,8400,97131,HONDA,CIVIC,2013,GRAY,2.5,Y
20221129,14500,33512,FORD,ESCAPE,2017,Gold,3.1,Y
20221123,3400,125282,HYUNDAI,ACCENT,2014,SILVER,2,Y
20221213,16000,66006,JEEP,GR CHERO 4X4 V6,2018,WHITE,2.8,Y
20230103,16600,102492,DODGE,DURANGO AWD V6,2016,GRAY,3.7,Y
20230404,2900,196500,ACURA,TSX FWD 4C,2011,,2,Y
20230406,1800,181045,CHEVROLET,CRUZE,2012,,3.8,Y
20230425,4600,192335,TOYOTA,CAMRY,2012,,1.7,Y
20230425,2200,168363,DODGE,JOURNEY FWD V6,2013,,1.3,Y
20230208,5200,92027,NISSAN,VERSA,2018,,2.3,Y
20230203,6400,40494,KIA,OPTIMA,2012,,0,N
20230217,3400,168940,KIA,SORENTO,2016,,1.3,Y
20230118,2300,73646,NISSAN,SENTRA,2018,,0,N
20230118,10000,38465,MITSUBISHI,OUTLAND SPT FWD,2016,,3.1,Y
20230131,2000,108620,JEEP,COMPASS FWD 4C,2010,,2.7,Y
20230104,6400,111519,KIA,OPTIMA,2015,,2.3,Y
20230309,6900,105534,HYUNDAI,GENESIS,2016,,1.5,Y
20230330,4200,104744,FORD,FIESTA,2017,,2.5,Y
20230321,950,142498,CHEVROLET,AVEO,2011,,2.5,Y
20230321,35500,41037,CHEVROLET,SILVERADO 1500,2018,,4.2,Y
20230322,9800,116501,NISSAN,ALTIMA,2017,,3,Y
20230525,475,245204,FORD,F150 4X4 CR,2007,,0,N
20230526,16000,106148,PORSCHE,MACAN,2017,,2.4,Y
20230502,6000,128611,HYUNDAI,ELANTRA,2017,,3.7,Y
20230511,6500,145133,HONDA,ACCORD 4C,2012,,3.7,Y
20230623,10600,79652,NISSAN,ALTIMA,2017,,2,Y
20230622,2300,154330,NISSAN,MURANO FWD,2011,,2.5,Y
20230608,2700,99289,HYUNDAI,SANTA FE S,2017,,0.6,N
20230622,3500,83414,MITSUBISHI,MIRAGE G4,2019,,2,Y
20230616,23900,14016,HONDA,CIVIC,2021,Blue,2.6,Y
20230613,43400,23286,CHEVROLET,1500 SLV 4X4 CR,2022,BLACK,4,Y
20230609,27700,43142,TOYOTA,RAV4,2020,Black,3.9,Y
20230619,7380,134864,NISSAN,MURANO AWD,2016,GREY,3.1,Y
20230615,700,78519,KIA,FORTE,2015,Gray,1.3,Y
20230703,15400,21400,FORD,MUSTANG 4C CPE,2021,SILVER,2,Y
20230706,20600,84991,NISSAN,TITAN,2018,White,2.9,Y
20230726,11300,76951,CHEVROLET,TRAX FWD,2020,WHITE,3.6,Y
20230719,11000,109416,KIA,OPTIMA,2019,White,4.3,Y
20230725,5900,108927,LANDROVER,LR4,2016,BLACK,1.9,N
20230817,3100,189069,FORD,EXPLORER,2015,SILVER,1.5,Y
20230818,22700,33360,HONDA,ACCORD,2021,White,3.8,Y
20230818,9250,94312,TOYOTA,COROLLA,2019,Silver,1.1,N
20230809,7250,86374,SUBARU,IMPREZA,2020,WHITE,1.7,Y
20230809,5600,103688,MITSUBISHI,OUTLAND SPT FWD,2020,BLACK,1.6,N
20230817,5800,35331,MITSUBISHI,MIRAGE G4,2019,Blue,2,Y
20230926,16600,84527,RAM,1500,2017,Gray,2.5,Y
20230922,13100,96252,HONDA,ACCORD,2016,Red,2.7,Y
20230929,7200,124683,TOYOTA,COROLLA,2016,Black,1.7,Y
20230912,11000,58136,SUBARU,IMPREZA,2020,Black,1.3,Y
20230919,1500,79391,MITSUBISHI,OUTLAND SPT FWD,2019,RED,0,N
20230906,10200,46873,MITSUBISHI,MIRAGE G4,2019,BLACK,4.2,Y
20230613,15600,85834,FORD,EXPLORER,2017,Black,2.8,Y
20230619,2880,134687,VOLKSWAGEN,PASSAT 5C,2013,WHITE,2.5,Y
20230630,8700,76513,NISSAN,SENTRA,2019,BLACK,2.9,Y
20230628,22500,82458,SUBARU,WRX STI,2015,Gray,4,Y
20230601,11800,103108,JEEP,RENEGADE,2020,Gray,2.3,Y
20230728,25000,28504,CHEVROLET,COLORADO,2018,Blue,4.4,Y
20230725,7400,111054,CHEVROLET,EQUINOX,2016,White,2.8,Y
20230719,8600,58821,MERCEDES,C300W4,2016,BLACK,2.4,Y
20230705,9000,158142,LEXUS,NX 200T FWD,2016,GRAY,1.7,Y
20230822,9100,114755,JEEP,PATRIOT,2017,White,3.3,Y
20230829,4500,117672,CHEVROLET,MALIBU,2018,SILVER,1,N
20230823,6200,164507,CHRYSLER,PACIFICA,2017,BLACK,2.6,Y
20230811,13200,35956,CHEVROLET,TRAX FWD,2019,BLACK,2.1,Y
20230817,2500,107172,HYUNDAI,SONATA,2016,Silver,1.5,N
20230803,14800,36594,CHEVROLET,TRAX,2019,Silver,2.9,Y
20230922,900,157240,ACURA,ILX,2013,Maroon,0,N
20230914,18250,35644,CHEVROLET,BOLT EV,2021,Gray,4.8,Y
20230919,8000,126097,CHRYSLER,PACIFICA,2017,SILVER,2.4,Y
20230929,4000,30375,CHEVROLET,TRAX,2019,Gray,1.3,Y
20230926,4700,158086,HYUNDAI,SONATA,2017,Blue,3,Y
20230927,1900,95921,CHEVROLET,SPARK,2014,YELLOW,1.7,Y
20230628,5400,60845,CHRYSLER,200 AWD V6,2015,BLACK,1.3,Y
20230616,5400,106020,GMC,ACADIA,2016,Gray,1.4,Y
20230607,21000,56007,JEEP,COMPASS 4X4,2019,BLUE,4,Y
20230629,7400,126210,NISSAN,PATHFINDER,2017,Gray,2.5,Y
20230623,4500,90434,KIA,SOUL,2016,WHITE,1.3,Y
20230721,800,53228,FORD,TAURUS,2019,Black,0,N
20230728,10200,81323,VOLKSWAGEN,PASSAT,2017,Gray,2.5,Y
20230713,50000,3877,GMC,SIERA 15 4X4 CR,2022,TAN,4.9,Y
20230705,5000,81577,KIA,OPTIMA,2016,Gray,1.3,Y
20230719,13500,133139,AUDI,Q7 V6,2017,GRAY,1.3,Y
20230808,7100,115584,FORD,EXPLORER 4X4 V6,2018,SILVER,1,N
20230808,22000,47743,HONDA,ACCORD,2020,White,3.9,Y
20230817,27300,11368,TOYOTA,RAV4,2021,Red,4.8,Y
20230831,7600,79123,TOYOTA,CAMRY,2019,Silver,1.3,Y
20230802,2000,68845,MITSUBISHI,OUTLAND 4X4 4C,2016,SILVER,0,N
20230803,20600,52068,LAND ROVER,DISCOVERY SPORT,2020,White,3.7,Y
20230906,25800,88073,RAM,1500 4X4 V8 CR,2019,GRAY,3.5,Y
20230914,18100,73143,HONDA,ACCORD,2020,Gray,4.1,Y
20230926,19900,68923,TOYOTA,RAV4 FWD,2018,PURPLE,4.5,Y
20230927,15200,132210,TOYOTA,CAMRY 4C,2019,WHITE,3.5,Y
20230920,10400,123750,SUBARU,WRX,2015,BLUE,3.7,Y
20230915,11400,135458,LAND ROVER,RANGE ROVER,2015,WHITE,1,N
20230405,26200,21634,HONDA,CR-V AWD 4C,2019,SILVER,4.1,Y
20230412,12750,155496,RAM,1500 4X4 V8,2013,BLACK,4.2,Y
20230418,32400,33976,TOYOTA,SIENNA,2019,Blue,3.4,Y
20230424,11750,105100,GMC TRUCK,SR 1500 4X4 CR,2013,RED,2,Y
20230428,25250,29299,HONDA,ACCORD,2020,Silver,3.6,Y
20230504,10250,63240,HONDA,HR-V FWD,2019,SILVER,1.3,Y
20230510,5900,51093,KIA,NIRO PLUG-IN HYBRID,2020,BLUE,1.8,N
20230517,6600,99990,HONDA,ACCORD,2018,RED,0,N
20230523,7000,123586,CHEVROLET,IMPALA V6,2018,BLACK,1.6,Y
20230526,16400,96827,BMW,430I GRAN COUPE,2018,Blue,3.6,Y
20230914,17250,65441,MERCEDES,GLC300W,2018,,2.2,Y
20230928,5000,115534,LINCOLN,TOWN CAR,2011,,2.4,Y
20231101,9200,76702,FORD,EDGE,2015,,2,Y
20230928,3750,107322,NISSAN,SENTRA,2016,,1.9,Y
20231011,1600,94446,CHEVROLET,VOLT,2012,,0,Y
20231102,500,139006,VOLKSWAGEN,JETTA 4C,2013,,0,N
20231026,7250,81929,BUICK,ENCORE FWD,2017,,2.8,Y
20231024,4300,172194,TOYOTA,SIENNA FWD,2012,,2.2,Y
20231101,9500,74002,FORD,FUSION HYBRID S,2018,,2.5,Y
20230801,8250,47519,SUBARU,IMPREZA,2019,,0,Y
20230711,2700,116426,HYUNDAI,ELANTRA,2017,,1,N
20230810,8100,44696,VOLKSWAGEN,JETTA GLI,2019,,0,N
20230711,2900,120307,FORD,FUSION FWD V6,2009,,2.4,Y
20230728,8500,96537,FORD,ECOSPORT,2019,,,Y
20230802,4100,129098,DODGE,DART,2015,,3.4,Y
20230803,4250,149625,JEEP,GR CHERO 4X2 V6,2011,,4.4,Y
20230810,4000,116503,CHEVROLET,MALIBU,2017,,1.3,Y
20230822,3750,82736,HYUNDAI,TUCSON AWD 4C,2016,,1,N
20230922,8400,47807,KIA,SOUL,2018,,2.1,Y
20230929,2500,72774,HARLEY-DAVIDSON,FLSTC HRTG SFTL CLSC,2012,,,N
20231004,16400,71996,RAM,1500,2018,,2.2,Y
20230928,10000,82173,HYUNDAI,ELANTRA,2020,,1.9,Y
20231018,12200,59235,CHEVROLET,EQUINOX,2015,,3.6,Y
20231006,600,230412,DODGE,AVENGER,2013,,2.2,Y
20231031,750,140991,HYUNDAI,SONATA,2013,,0,N
20231108,16750,73380,INFINITI,Q50 4X2 4C,2017,,3.9,Y
20231102,7200,167298,HONDA,PILOT 4X4,2014,,2.6,Y
20230706,1000,128636,NISSAN,MURANO,2010,,1.3,Y
20230817,3100,162713,JEEP,CHEROKEE 4X4 V6,2016,,1.3,Y
